unnamed: 0,job title,job type,company name,posted date,cities,states,stipend,start date,duration,numer of openings,late date to apply,combined_text
227,ENGAGEMENT OF INTERNS UNDER DAY-NULM,Full Time,Municipal Corporation Patiala,03-11-2023,Patiala,Punjab,10000 /month,Immediately,5 Months,1.0,10-02-2024,ENGAGEMENT OF INTERNS UNDER DAY-NULM Municipal Corporation Patiala Patiala Punjab 10000 /month 5 Months
228,INTERNS FOR DAY-NULM  UNDER MC AMRITSAR,Full Time,Municipal Corporation Amritsar,09-11-2023,Amritsar,Punjab,10000 /month,Immediately,8 Weeks,3.0,14-11-2023,INTERNS FOR DAY-NULM  UNDER MC AMRITSAR Municipal Corporation Amritsar Amritsar Punjab 10000 /month 8 Weeks
229,STATE-LEVEL INTERNS - KUDUMBASHREE,Full Time,KUDUMBASHREE,25-11-2023,Thiruvananthapuram,Kerala,8000 /month,Immediately,3 Months,3.0,31-05-2024,STATE-LEVEL INTERNS - KUDUMBASHREE KUDUMBASHREE Thiruvananthapuram Kerala 8000 /month 3 Months
230,CITY LEVEL - INTERNS - KUDUMBASHREE,Full Time,KUDUMBASHREE,25-11-2023,Thiruvananthapuram,Kerala,8000 /month,Immediately,1 month,93.0,04-06-2024,CITY LEVEL - INTERNS - KUDUMBASHREE KUDUMBASHREE Thiruvananthapuram Kerala 8000 /month 1 month
231,DAY-NULM,Full Time,MUNICIPAL CORPORATION LUDHIANA,28-11-2023,Ludhiana,Punjab,10000 /month,Immediately,12 Weeks,1.0,02-12-2023,DAY-NULM MUNICIPAL CORPORATION LUDHIANA Ludhiana Punjab 10000 /month 12 Weeks
232,SOCIAL EXPERT,Full Time,NAGPUR MUNICIPAL CORPORATION NAGPUR,01-12-2023,Nagpur,Maharashtra,Unpaid,Immediately,6 Months,7.0,10-12-2023,SOCIAL EXPERT NAGPUR MUNICIPAL CORPORATION NAGPUR Nagpur Maharashtra Unpaid 6 Months
233,LIVELIHOOD AND SKILL DEVELOPMENT -TULIP,Full Time,"Urban Local Body, Rahatgarh",10-12-2023,Sagar,Madhya Pradesh,Unpaid,Immediately,2 Months,1.0,18-12-2023,"LIVELIHOOD AND SKILL DEVELOPMENT -TULIP Urban Local Body, Rahatgarh Sagar Madhya Pradesh Unpaid 2 Months"
234,DAYNULM INTERN,Full Time,Manmad Municipal Council,14-12-2023,Manmad,Maharashtra,Unpaid,Immediately,8 Weeks,3.0,18-12-2023,DAYNULM INTERN Manmad Municipal Council Manmad Maharashtra Unpaid 8 Weeks
235,DAY NULM ENTERPRENEURSHIP DEVELOPMENT,Full Time,Municipal Council Jagraon,15-12-2023,Jagraon,Punjab,10000 /month,Immediately,8 Weeks,1.0,20-03-2024,DAY NULM ENTERPRENEURSHIP DEVELOPMENT Municipal Council Jagraon Jagraon Punjab 10000 /month 8 Weeks
236,INTERSHIP UNDER DAY NULM,Full Time,CITY MUNCIPAL COUNCIL SHORAPUR,22-01-2024,Shorapur,Karnataka,Unpaid,Immediately,5 Months,4.0,25-01-2024,INTERSHIP UNDER DAY NULM CITY MUNCIPAL COUNCIL SHORAPUR Shorapur Karnataka Unpaid 5 Months
237,INTERNSHIP UNDER DAY NULM,Full Time,CMC Yadgiri,22-01-2024,Yadgir,Karnataka,Unpaid,Immediately,5 Months,6.0,14-02-2024,INTERNSHIP UNDER DAY NULM CMC Yadgiri Yadgir Karnataka Unpaid 5 Months
238,INTERNSHIP UNDER DAY NULM,Full Time,TOWN MUNCIPAL KAKKERA,23-01-2024,Kakkera,Karnataka,Unpaid,Immediately,5 Months,3.0,19-03-2024,INTERNSHIP UNDER DAY NULM TOWN MUNCIPAL KAKKERA Kakkera Karnataka Unpaid 5 Months
239,INTERSHIP UNDER DAY NULM,Full Time,TOWN MUNCIPAL COUNCIL KEMBHAVI,23-01-2024,Kembhavi,Karnataka,Unpaid,Immediately,5 Months,2.0,05-02-2024,INTERSHIP UNDER DAY NULM TOWN MUNCIPAL COUNCIL KEMBHAVI Kembhavi Karnataka Unpaid 5 Months
240,INTERNSHIP UNDER DAY NULM,Full Time,TOWN PANCHAYATH HUNASAGI,23-01-2024,Hunsagi,Karnataka,Unpaid,Immediately,5 Months,1.0,31-01-2024,INTERNSHIP UNDER DAY NULM TOWN PANCHAYATH HUNASAGI Hunsagi Karnataka Unpaid 5 Months
241,INTERNSHIP UNDER DAY NULM,Full Time,TMC Gurumatkal,23-01-2024,Gurumatkal,Karnataka,Unpaid,Immediately,5 Months,2.0,31-01-2024,INTERNSHIP UNDER DAY NULM TMC Gurumatkal Gurumatkal Karnataka Unpaid 5 Months
242,DEENDAYAL ANTYODAYA YOJANE NULM,Full Time,CITY MUNICIPAL COUNCIL,24-01-2024,Chickmagalur,Karnataka,Unpaid,Immediately,5 Months,11.0,05-02-2024,DEENDAYAL ANTYODAYA YOJANE NULM CITY MUNICIPAL COUNCIL Chickmagalur Karnataka Unpaid 5 Months
243,INTERSHIP UNDER DAY NULM,Full Time,City Corporation,24-01-2024,Davangere,Karnataka,2500 /month,Immediately,8 Weeks,38.0,29-02-2024,INTERSHIP UNDER DAY NULM City Corporation Davangere Karnataka 2500 /month 8 Weeks
244,INTERN FOR DAYNULM,Part Time,Town Municipal Council Kadur,25-01-2024,Kadur,Karnataka,Unpaid,Immediately,3 Months,3.0,05-02-2024,INTERN FOR DAYNULM Town Municipal Council Kadur Kadur Karnataka Unpaid 3 Months
245,SURVEYOR INTERN,Full Time,Kaup TMC,25-01-2024,Kaup,Karnataka,8334 /month,Immediately,3 Months,5.0,24-09-2024,SURVEYOR INTERN Kaup TMC Kaup Karnataka 8334 /month 3 Months
246,PM SVANIDHI INTERNSHIP,Part Time,Mulki Town Panchayath,25-01-2024,Mulki,Karnataka,2500 /month,Immediately,2 Months,1.0,31-01-2024,PM SVANIDHI INTERNSHIP Mulki Town Panchayath Mulki Karnataka 2500 /month 2 Months
247,DAY-NULM/PM SVANIDHI INTERN,Full Time,Shikaripura TMC,29-01-2024,Shikaripura,Karnataka,5000 /month,Immediately,5 Months,3.0,15-02-2024,DAY-NULM/PM SVANIDHI INTERN Shikaripura TMC Shikaripura Karnataka 5000 /month 5 Months
248,PM SVANIDHI INTERNSHIP,Full Time,Town Panchayat Saligrama,30-01-2024,Udipi,Karnataka,1000 /month,Immediately,5 Months,1.0,11-03-2024,PM SVANIDHI INTERNSHIP Town Panchayat Saligrama Udipi Karnataka 1000 /month 5 Months
249,SELF HELP GROUP,Full Time,UDUPI CMC,31-01-2024,Udipi,Karnataka,5000 /month,Immediately,2 Months,10.0,30-10-2024,SELF HELP GROUP UDUPI CMC Udipi Karnataka 5000 /month 2 Months
250,PM SVANIDHI SOCIO ECONOMIC SURVEY,Part Time,TOWN MUNICIPAL COUNCIL KUNDAPURA 576201,31-01-2024,Udipi,Karnataka,1000 /month,Immediately,2 Months,1.0,05-02-2024,PM SVANIDHI SOCIO ECONOMIC SURVEY TOWN MUNICIPAL COUNCIL KUNDAPURA 576201 Udipi Karnataka 1000 /month 2 Months
251,DAYNULM INTERN,Full Time,Town Panchayath Jogkargal,31-01-2024,Jog-Kargal,Karnataka,5000 /month,Immediately,2 Months,1.0,31-01-2024,DAYNULM INTERN Town Panchayath Jogkargal Jog-Kargal Karnataka 5000 /month 2 Months
252,SHELTER FOR URBAN HOMELESS,Part Time,UDUPI CMC,31-01-2024,Udipi,Karnataka,5000 /month,Immediately,2 Months,10.0,03-02-2024,SHELTER FOR URBAN HOMELESS UDUPI CMC Udipi Karnataka 5000 /month 2 Months
253,DAY NULM INTERNS,Full Time,Town Municipal Council Shiralakoppa,31-01-2024,Shikaripura,Karnataka,5000 /month,Immediately,3 Months,1.0,01-08-2024,DAY NULM INTERNS Town Municipal Council Shiralakoppa Shikaripura Karnataka 5000 /month 3 Months
254,DAY NULM AND PMSVANIDHI,Full Time,Mangaluru City Corporation,01-02-2024,Mangalore,Karnataka,2500 /month,Immediately,2 Months,14.0,26-10-2024,DAY NULM AND PMSVANIDHI Mangaluru City Corporation Mangalore Karnataka 2500 /month 2 Months
255,SELF EMPLOYMENT PROGRAMME DAY NULM,Full Time,UDUPI CMC,01-02-2024,Udipi,Karnataka,5000 /month,Immediately,2 Months,10.0,03-02-2024,SELF EMPLOYMENT PROGRAMME DAY NULM UDUPI CMC Udipi Karnataka 5000 /month 2 Months
256,PM SVANIDHI INTERNSHIP,Full Time,Sullia Town Panchayath,01-02-2024,Sullia,Karnataka,2500 /month,Immediately,2 Months,1.0,06-11-2024,PM SVANIDHI INTERNSHIP Sullia Town Panchayath Sullia Karnataka 2500 /month 2 Months
257,DAYNULM INTERN,Part Time,TOWN MUNICIPAL COUNCIL KAMPLI,01-02-2024,Kampli,Karnataka,5000 /month,Immediately,2 Months,6.0,02-03-2024,DAYNULM INTERN TOWN MUNICIPAL COUNCIL KAMPLI Kampli Karnataka 5000 /month 2 Months
258,DAY NULM AND PMSVANIDHI,Full Time,Town Panchayath Tekkalakote,03-02-2024,Tekkalakote,Karnataka,2500 /month,Immediately,2 Months,3.0,07-02-2024,DAY NULM AND PMSVANIDHI Town Panchayath Tekkalakote Tekkalakote Karnataka 2500 /month 2 Months
259,THE URBAN LEARNING INTERNSHIP PROGRAM (TULIP),Part Time,Vitla Town Panchayath,03-02-2024,Vitla,Karnataka,2500 /month,Immediately,2 Months,1.0,03-02-2024,THE URBAN LEARNING INTERNSHIP PROGRAM (TULIP) Vitla Town Panchayath Vitla Karnataka 2500 /month 2 Months
260,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,TMC Tarikere,05-02-2024,Tarikere,Karnataka,1000 /month,Immediately,5 Months,4.0,08-04-2024,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR TMC Tarikere Tarikere Karnataka 1000 /month 5 Months"
261,THE URBAN LEARNING INTERNSHIP PROGRAMME (TULIP),Full Time,Ballari City Corporation,05-02-2024,Bellary,Karnataka,2500 /month,Immediately,2 Months,35.0,20-02-2024,THE URBAN LEARNING INTERNSHIP PROGRAMME (TULIP) Ballari City Corporation Bellary Karnataka 2500 /month 2 Months
262,DAY NULM AND PMSVANIDHI,Full Time,Town Municipal Council,05-02-2024,Sandur,Karnataka,2500 /month,Immediately,2 Months,3.0,07-02-2024,DAY NULM AND PMSVANIDHI Town Municipal Council Sandur Karnataka 2500 /month 2 Months
263,DAY NULM AND PMSVANIDHI,Full Time,Town Panchayath Kudathini,06-02-2024,Kudathini,Karnataka,2500 /month,Immediately,2 Months,3.0,08-02-2024,DAY NULM AND PMSVANIDHI Town Panchayath Kudathini Kudathini Karnataka 2500 /month 2 Months
264,DAYNULM INTERN,Full Time,TOWN MUNICIPAL COUNCIL KAMPLI,06-02-2024,Kampli,Karnataka,5000 /month,Immediately,2 Months,6.0,06-02-2024,DAYNULM INTERN TOWN MUNICIPAL COUNCIL KAMPLI Kampli Karnataka 5000 /month 2 Months
265,DAY NULM AND PMSVANIDHI,Part Time,TOWN MUNICIPAL COUNCIL KUREKUPPA,06-02-2024,Bellary,Karnataka,2500 /month,Immediately,2 Months,2.0,08-02-2024,DAY NULM AND PMSVANIDHI TOWN MUNICIPAL COUNCIL KUREKUPPA Bellary Karnataka 2500 /month 2 Months
266,DAY NULM AND PMSVANIDHI,Full Time,TMC KURUGODU,06-02-2024,Kurugodu,Karnataka,2500 /month,Immediately,2 Months,2.0,08-02-2024,DAY NULM AND PMSVANIDHI TMC KURUGODU Kurugodu Karnataka 2500 /month 2 Months
267,LEARNING ABOUT DAY NULM SCHEMES,Part Time,CMC Siruguppa,06-02-2024,Siruguppa,Karnataka,2500 /month,Immediately,12 Months,5.0,08-02-2024,LEARNING ABOUT DAY NULM SCHEMES CMC Siruguppa Siruguppa Karnataka 2500 /month 12 Months
268,OFFICE ASSISTANT,Full Time,Town Municipal Council Ankola,06-02-2024,Ankola,Karnataka,5000 /month,Immediately,5 Months,3.0,09-02-2024,OFFICE ASSISTANT Town Municipal Council Ankola Ankola Karnataka 5000 /month 5 Months
269,DAY NULM AND PMSVANIDHI,Full Time,CMC Siruguppa,06-02-2024,Siruguppa,Karnataka,2500 /month,Immediately,2 Months,5.0,08-02-2024,DAY NULM AND PMSVANIDHI CMC Siruguppa Siruguppa Karnataka 2500 /month 2 Months
270,DAY NULM AND PMSVANIDHI,Part Time,CMC Siruguppa,06-02-2024,Siruguppa,Karnataka,2500 /month,Immediately,2 Months,5.0,08-02-2024,DAY NULM AND PMSVANIDHI CMC Siruguppa Siruguppa Karnataka 2500 /month 2 Months
271,DAY NULM AND PMSVANIDHI,Part Time,CMC Siruguppa,07-02-2024,Siruguppa,Karnataka,2500 /month,Immediately,2 Months,5.0,08-02-2024,DAY NULM AND PMSVANIDHI CMC Siruguppa Siruguppa Karnataka 2500 /month 2 Months
272,DEENDAYAL ANTYODAYA YOJANE NULM,Full Time,City Municipal Council,07-02-2024,Kollegal,Karnataka,2500 /month,Immediately,2 Months,6.0,15-02-2024,DEENDAYAL ANTYODAYA YOJANE NULM City Municipal Council Kollegal Karnataka 2500 /month 2 Months
273,PMSVANIDHI AND DAYNULM INTERN,Part Time,City Municipal Council Puttur DK,07-02-2024,Puttur,Karnataka,2500 /month,Immediately,2 Months,3.0,15-02-2024,PMSVANIDHI AND DAYNULM INTERN City Municipal Council Puttur DK Puttur Karnataka 2500 /month 2 Months
274,DAY NULM AND PMSVANIDHI,Full Time,CMC Siruguppa,07-02-2024,Siruguppa,Karnataka,2500 /month,Immediately,2 Months,5.0,07-02-2024,DAY NULM AND PMSVANIDHI CMC Siruguppa Siruguppa Karnataka 2500 /month 2 Months
275,DAY NULM INTERNS,Full Time,Town Panchayat Tavaragera,08-02-2024,Tavaragera,Karnataka,3000 /month,Immediately,2 Months,2.0,22-03-2024,DAY NULM INTERNS Town Panchayat Tavaragera Tavaragera Karnataka 3000 /month 2 Months
276,THE OBJECTIVE IS TO REDUCE URBAN POVERTY BY IMPROVING LIVELIHOODS OF URBAN POOR AND MARGINALIZED COMMUNITIES IN URBAN AREAS OF SUB-UNITS OF DAY NULM ABHIYAN AND PM SVANIDHI TWO SCHEMES,Full Time,Town Municipal Council Gajendragad,08-02-2024,Gajendragad,Karnataka,1500 /month,Immediately,3 Months,3.0,24-01-2025,THE OBJECTIVE IS TO REDUCE URBAN POVERTY BY IMPROVING LIVELIHOODS OF URBAN POOR AND MARGINALIZED COMMUNITIES IN URBAN AREAS OF SUB-UNITS OF DAY NULM ABHIYAN AND PM SVANIDHI TWO SCHEMES Town Municipal Council Gajendragad Gajendragad Karnataka 1500 /month 3 Months
277,DAY NULM AND PMSVANIDHI,Full Time,TOWNMUNCIPAL OFFICE HARAPANAHALLI,08-02-2024,Harapanahalli,Karnataka,2500 /month,Immediately,2 Months,4.0,17-02-2024,DAY NULM AND PMSVANIDHI TOWNMUNCIPAL OFFICE HARAPANAHALLI Harapanahalli Karnataka 2500 /month 2 Months
278,THE OBJECTIVE OF SUB-UNITS OF DAY NULM ABHIYAN AND PM SVANIDHITWO SCHEMES IS TO REDUCE URBAN POVERTY BY IMPROVING LIVELIHOODS OF URBAN POOR AND MARGINALIZED COMMUNITIES IN URBAN AREAS.,Full Time,TPC Shirahatti,08-02-2024,Shirahatti,Karnataka,1660 /month,Immediately,12 Weeks,2.0,08-09-2024,THE OBJECTIVE OF SUB-UNITS OF DAY NULM ABHIYAN AND PM SVANIDHITWO SCHEMES IS TO REDUCE URBAN POVERTY BY IMPROVING LIVELIHOODS OF URBAN POOR AND MARGINALIZED COMMUNITIES IN URBAN AREAS. TPC Shirahatti Shirahatti Karnataka 1660 /month 12 Weeks
279,ANALYSING THE ROLE OF MICRO ENTREPRENEURSHIP AND SELF HELP GROUP IN WOMEN EMPOWERMENT AND DEVELOPMENT,Part Time,Town Panchayat Hirekerur,08-02-2024,Hirekerur,Karnataka,2500 /month,Immediately,2 Months,2.0,18-02-2024,ANALYSING THE ROLE OF MICRO ENTREPRENEURSHIP AND SELF HELP GROUP IN WOMEN EMPOWERMENT AND DEVELOPMENT Town Panchayat Hirekerur Hirekerur Karnataka 2500 /month 2 Months
280,THE OBJECTIVE IS TO REDUCE URBAN POVERTY BY IMPROVING LIVELIHOODS OF URBAN POOR AND MARGINALIZED COMMUNITIES IN URBAN AREASOF SUB-UNITS OF DAY NULM ABHIYAN AND PM SVANIDHI TWO SCHEMES,Full Time,TMC Laxmeshwar,08-02-2024,Lakshmeshwara,Karnataka,5000 /month,Immediately,3 Months,3.0,27-09-2024,THE OBJECTIVE IS TO REDUCE URBAN POVERTY BY IMPROVING LIVELIHOODS OF URBAN POOR AND MARGINALIZED COMMUNITIES IN URBAN AREASOF SUB-UNITS OF DAY NULM ABHIYAN AND PM SVANIDHI TWO SCHEMES TMC Laxmeshwar Lakshmeshwara Karnataka 5000 /month 3 Months
281,DAY NULM AND PMSVANIDHI,Full Time,TOWNMUNCIPAL OFFICE HARAPANAHALLI,08-02-2024,Harapanahalli,Karnataka,2500 /month,Immediately,2 Months,4.0,17-03-2024,DAY NULM AND PMSVANIDHI TOWNMUNCIPAL OFFICE HARAPANAHALLI Harapanahalli Karnataka 2500 /month 2 Months
282,ANALYSING THE ROLE OF MICRO ENTREPRENEURSHIP AND SELF HELP GROUPS IN WOMEN EMPOWERMENT AND DEVELOPMENT,Full Time,TOWN MUNICIPAL COUNCIL HANAGAL,09-02-2024,Hangal,Karnataka,2500 /month,Immediately,2 Months,3.0,18-02-2024,ANALYSING THE ROLE OF MICRO ENTREPRENEURSHIP AND SELF HELP GROUPS IN WOMEN EMPOWERMENT AND DEVELOPMENT TOWN MUNICIPAL COUNCIL HANAGAL Hangal Karnataka 2500 /month 2 Months
283,PM SVANIDHI INTERNSHIP,Part Time,Mulki Town Panchayath,09-02-2024,Mulki,Karnataka,2500 /month,Immediately,2 Months,1.0,30-05-2024,PM SVANIDHI INTERNSHIP Mulki Town Panchayath Mulki Karnataka 2500 /month 2 Months
284,TULIP INTERNS UNDER DAY-NULM PROGRAMME,Full Time,TOWN MUNICIPAL COUNCIL NARAGUND,09-02-2024,Nargund,Karnataka,5000 /month,Immediately,12 Weeks,4.0,20-11-2024,TULIP INTERNS UNDER DAY-NULM PROGRAMME TOWN MUNICIPAL COUNCIL NARAGUND Nargund Karnataka 5000 /month 12 Weeks
285,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CITY MUNICIPAL COUNCIL CHANNAPATNA,09-02-2024,Channapatna,Karnataka,2000 /month,Immediately,2 Months,8.0,17-02-2024,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR CITY MUNICIPAL COUNCIL CHANNAPATNA Channapatna Karnataka 2000 /month 2 Months"
286,PROGRAMME ORGANISER TMC SAKLESHPURA LIMIT,Part Time,TMC SAKLESHPURA,09-02-2024,Sakleshpur,Karnataka,20000 /month,Immediately,3 Months,2.0,28-02-2024,PROGRAMME ORGANISER TMC SAKLESHPURA LIMIT TMC SAKLESHPURA Sakleshpur Karnataka 20000 /month 3 Months
287,DAY NULM AND PMSVANIDHI,Part Time,TOWNMUNCIPAL OFFICE HARAPANAHALLI,09-02-2024,Harapanahalli,Karnataka,2500 /month,Immediately,2 Months,4.0,14-02-2024,DAY NULM AND PMSVANIDHI TOWNMUNCIPAL OFFICE HARAPANAHALLI Harapanahalli Karnataka 2500 /month 2 Months
288,PMSVANIDHI AND DAYNULM INTERN,Full Time,Kotekar Town Panchayath,09-02-2024,Kotekar,Karnataka,2500 /month,Immediately,6 Months,1.0,02-12-2024,PMSVANIDHI AND DAYNULM INTERN Kotekar Town Panchayath Kotekar Karnataka 2500 /month 6 Months
289,NULM TULIP INTERN,Part Time,Town Panchayath Nayakanahatti,09-02-2024,Nayakanahatti,Karnataka,Unpaid,Immediately,5 Months,2.0,15-02-2024,NULM TULIP INTERN Town Panchayath Nayakanahatti Nayakanahatti Karnataka Unpaid 5 Months
290,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CITY MUNICIPAL COUNCIL CHITRADURGA,09-02-2024,Chitradurga,Karnataka,2500 /month,Immediately,2 Months,14.0,10-12-2024,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR CITY MUNICIPAL COUNCIL CHITRADURGA Chitradurga Karnataka 2500 /month 2 Months"
291,TULIP INTERNS UNDER PM SVANIDHI DAY-NULM PROGRAMME FOR TMC RON,Full Time,Town Municipal Council Ron,09-02-2024,Ron,Karnataka,5000 /month,Immediately,12 Weeks,2.0,19-02-2024,TULIP INTERNS UNDER PM SVANIDHI DAY-NULM PROGRAMME FOR TMC RON Town Municipal Council Ron Ron Karnataka 5000 /month 12 Weeks
292,DAY NULM AND PMSVANIDHI,Part Time,TOWNMUNCIPAL OFFICE HARAPANAHALLI,09-02-2024,Harapanahalli,Karnataka,2500 /month,Immediately,2 Months,4.0,14-02-2024,DAY NULM AND PMSVANIDHI TOWNMUNCIPAL OFFICE HARAPANAHALLI Harapanahalli Karnataka 2500 /month 2 Months
293,DAY NULM AND PMSVANIDHI,Full Time,Tmc Bangarpet,10-02-2024,Kolar,Karnataka,1650 /month,Immediately,3 Months,4.0,24-05-2024,DAY NULM AND PMSVANIDHI Tmc Bangarpet Kolar Karnataka 1650 /month 3 Months
294,NULM TRAINER,Full Time,TOWN MUNCIPAL COUNCIL Mudalgi,12-02-2024,Mudalgi,Karnataka,5000 /month,Immediately,3 Months,1.0,20-06-2024,NULM TRAINER TOWN MUNCIPAL COUNCIL Mudalgi Mudalgi Karnataka 5000 /month 3 Months
295,DAY NULM AND PMSVANIDHI,Full Time,Town Panchayath Yelandur,12-02-2024,Yelandur,Karnataka,2500 /month,Immediately,2 Months,1.0,25-02-2024,DAY NULM AND PMSVANIDHI Town Panchayath Yelandur Yelandur Karnataka 2500 /month 2 Months
296,DAY-NULM/PM SVANIDHI INTERN,Full Time,City Municipal Council,12-02-2024,Hiriyur,Karnataka,5000 /month,Immediately,3 Months,5.0,20-02-2024,DAY-NULM/PM SVANIDHI INTERN City Municipal Council Hiriyur Karnataka 5000 /month 3 Months
297,DAY NULM AND PMSVANIDHI,Part Time,Town Panchayath Yelandur,12-02-2024,Yelandur,Karnataka,1666 /month,Immediately,3 Months,1.0,05-10-2024,DAY NULM AND PMSVANIDHI Town Panchayath Yelandur Yelandur Karnataka 1666 /month 3 Months
298,DAY NULM INTERNS,Full Time,"TOWN MUNICIPAL COUNCIL, SANKESHWAR",12-02-2024,Sankeshwar,Karnataka,5000 /month,Immediately,3 Months,1.0,19-02-2024,"DAY NULM INTERNS TOWN MUNICIPAL COUNCIL, SANKESHWAR Sankeshwar Karnataka 5000 /month 3 Months"
299,NULM INTERN,Full Time,TOWN MUNICIPAL COUNCIL KUMTA,13-02-2024,Kumta,Karnataka,Unpaid,Immediately,3 Months,2.0,29-02-2024,NULM INTERN TOWN MUNICIPAL COUNCIL KUMTA Kumta Karnataka Unpaid 3 Months
300,DAY NULM AND PMSVANIDHI,Full Time,Town Panchayat Yellapur,13-02-2024,Yellapur,Karnataka,1666 /month,Immediately,3 Months,2.0,15-12-2024,DAY NULM AND PMSVANIDHI Town Panchayat Yellapur Yellapur Karnataka 1666 /month 3 Months
301,DAY NULM AND PMSVANIDHI,Full Time,Town Panchayat Kalagi,13-02-2024,Kalagi,Karnataka,Unpaid,Immediately,3 Months,1.0,14-02-2024,DAY NULM AND PMSVANIDHI Town Panchayat Kalagi Kalagi Karnataka Unpaid 3 Months
302,TULIP INTERNS UNDER DAY-NULM PROGRAMME,Part Time,TOWN PANCHAYATH MOLAKALMURU,13-02-2024,Molkalmuru,Karnataka,5000 /month,Immediately,3 Months,1.0,19-02-2024,TULIP INTERNS UNDER DAY-NULM PROGRAMME TOWN PANCHAYATH MOLAKALMURU Molkalmuru Karnataka 5000 /month 3 Months
303,DAY-NULM/PM SVANIDHI INTERN,Part Time,Gundlupet Town Municipal council,14-02-2024,Chamrajnagar,Karnataka,2500 /month,Immediately,2 Months,3.0,17-02-2024,DAY-NULM/PM SVANIDHI INTERN Gundlupet Town Municipal council Chamrajnagar Karnataka 2500 /month 2 Months
304,DAY NULM AND PMSVANIDHI,Full Time,Municipality Robertsonpet,14-02-2024,Robertsonpet,Karnataka,1666 /month,Immediately,1 Months,11.0,31-03-2025,DAY NULM AND PMSVANIDHI Municipality Robertsonpet Robertsonpet Karnataka 1666 /month 1 Months
305,DAY-NULM,Full Time,CITY MUNICIPAL COUNCIL Harihara,14-02-2024,Harihar,Karnataka,1666 /month,Immediately,12 Weeks,8.0,19-02-2024,DAY-NULM CITY MUNICIPAL COUNCIL Harihara Harihar Karnataka 1666 /month 12 Weeks
306,DAY NULM INTERNS,Full Time,City Corporation Vijayapura,14-02-2024,Bijapur,Karnataka,1667 /month,Immediately,3 Months,28.0,01-07-2024,DAY NULM INTERNS City Corporation Vijayapura Bijapur Karnataka 1667 /month 3 Months
307,DEENDAYAL ANTYODAYA YOJANE NULM,Part Time,Town Panchayath Kanakagiri,14-02-2024,Kanakagiri,Karnataka,1667 /month,Immediately,3 Months,1.0,22-02-2024,DEENDAYAL ANTYODAYA YOJANE NULM Town Panchayath Kanakagiri Kanakagiri Karnataka 1667 /month 3 Months
308,07 NOS INTERNS FOR DAY-NULM AND PM SWANIDHI IMPLEMENTATION PROGRAMME,Full Time,CITY MUNICIPAL COUNCIL CHALLAKERE,15-02-2024,Challakere,Karnataka,2500 /month,Immediately,3 Months,7.0,21-02-2024,07 NOS INTERNS FOR DAY-NULM AND PM SWANIDHI IMPLEMENTATION PROGRAMME CITY MUNICIPAL COUNCIL CHALLAKERE Challakere Karnataka 2500 /month 3 Months
309,DAY NULM AND PMSVANIDHI,Full Time,"CITY MUNICIPAL COUNCIL,SIRSI",15-02-2024,Sirsi,Karnataka,5000 /month,Immediately,12 Weeks,5.0,30-11-2024,"DAY NULM AND PMSVANIDHI CITY MUNICIPAL COUNCIL,SIRSI Sirsi Karnataka 5000 /month 12 Weeks"
310,DAY NULM AND PMSVANIDHI,Full Time,Town Municipal Council Bhatkal,15-02-2024,Bhatkal,Karnataka,5000 /month,Immediately,1week,2.0,06-12-2024,DAY NULM AND PMSVANIDHI Town Municipal Council Bhatkal Bhatkal Karnataka 5000 /month 1week
311,INTERN FOR DAYNULM,Full Time,Town Municipal Council Birur,15-02-2024,Birur,Karnataka,3000 /month,Immediately,3 Months,2.0,08-03-2024,INTERN FOR DAYNULM Town Municipal Council Birur Birur Karnataka 3000 /month 3 Months
312,IMPROVED LIFE STYLE OF MEMBERS THROUGH SELF HELP GROUPS,Full Time,Town Municipal Council Bankapura,15-02-2024,Bankapura,Karnataka,2500 /month,Immediately,2 Months,1.0,24-02-2024,IMPROVED LIFE STYLE OF MEMBERS THROUGH SELF HELP GROUPS Town Municipal Council Bankapura Bankapura Karnataka 2500 /month 2 Months
313,IMPROVED LIFE STYLE OF MEMBERS THROUGH SELF HELP GROUPS,Full Time,Town Panchayat Guttal,15-02-2024,Guttal,Karnataka,2500 /month,Immediately,2 Months,2.0,24-02-2024,IMPROVED LIFE STYLE OF MEMBERS THROUGH SELF HELP GROUPS Town Panchayat Guttal Guttal Karnataka 2500 /month 2 Months
314,UNTERNS IN THE URBAN LEARNING INTERNSHIP PROGRAMME,Full Time,CITY MUNICIPAL COUNCIL SINDHANUR,15-02-2024,Sindhanur,Karnataka,Unpaid,Immediately,6 Months,10.0,15-02-2024,UNTERNS IN THE URBAN LEARNING INTERNSHIP PROGRAMME CITY MUNICIPAL COUNCIL SINDHANUR Sindhanur Karnataka Unpaid 6 Months
